id,username,gender,age,province,city,education,height,weight,race,least_age,most_age,least_height,most_height,aim_race,aim_education,aim_marriage,aim_home
13871077,老四〇,M,49,北京,朝阳,大专,175,0,--,20,50,150,180,不限,不限,不限,不限
13872408,悲秋风,M,36,广西,贺州,高中中专及以下,168,0,汉,20,27,166,168,不限,高中中专及以下或以上,未婚,不限
13872603,璐璐,F,28,河南,郑州,大专,160,0,--,20,50,160,190,不限,不限,不限,不限
13873211,若水,M,42,山东,聊城,高中中专及以下,175,0,--,25,32,150,170,不限,不限,不限,不限
13874856,简单,M,37,新疆,乌鲁木齐,本科,181,0,--,19,36,158,176,不限,不限,未婚,不限
13875911,天高云淡,F,41,福建,厦门,大专,164,51,汉,36,41,170,185,不限,不限,不限,不限
13877227,一下楼主人,M,36,陕西,西安,本科,178,0,--,20,27,163,173,不限,大专或以上,未婚,不限
13877494,沃野千里,M,36,山东,聊城,大专,175,0,--,20,27,150,170,不限,不限,不限,不限
13878335,小兵,M,31,广东,广州,大专,170,55,汉,18,22,160,163,不限,大专,未婚,不限
13879311,想你就抽只烟,M,34,广东,深圳,本科,171,60,--,20,50,150,180,不限,不限,不限,不限
13881620,妍艳,F,38,广东,广州,大专,160,45,汉,30,43,164,178,不限,大专或以上,未婚,星级会员 
13884299,爱在秋天,M,28,湖北,黄石,高中中专及以下,172,0,--,18,23,165,175,不限,不限,不限,不限
13884951,注定无泪,M,27,江苏,连云港,高中中专及以下,165,0,--,18,20,160,165,不限,不限,未婚,不限
13885707,鱼汤拌饭,M,33,湖南,湘潭,本科,172,75,汉,18,26,158,165,不限,大专或以上,未婚,不限
13886952,山情水色,M,39,江苏,南通,本科,172,65,--,23,32,162,167,不限,大专或以上,未婚,星级会员 
13887806,ωǒ╄→×苡,M,28,安徽,宿州,高中中专及以下,175,0,--,18,28,165,174,不限,不限,不限,不限
13888318,万万,M,35,湖北,武汉,硕士,178,70,汉,20,50,150,180,不限,不限,不限,不限
13888808,海涛,M,35,广东,深圳,大专,173,63,汉,20,30,160,168,不限,不限,不限,不限
13890041,卷卷恋,F,29,河北,唐山,本科,160,55,汉,22,30,170,180,不限,不限,未婚,不限
13891183,sophie,F,33,广东,广州,双学士,168,0,--,20,50,160,190,不限,不限,不限,不限
13891404,黑色婚礼,M,29,辽宁,锦州,高中中专及以下,186,0,满,20,50,150,180,不限,不限,不限,不限
13891770,郁秀,F,36,江苏,扬州,大专,165,0,--,20,50,160,190,不限,不限,不限,不限
13894028,十三少,M,35,河北,衡水,高中中专及以下,172,0,--,19,26,160,167,不限,不限,未婚,不限
13895420,ziyouren,M,37,安徽,六安,本科,170,0,--,21,28,160,170,不限,大专或以上,不限,不限
13897033,风雨无阻,M,34,湖南,怀化,本科,170,0,--,20,50,150,180,不限,不限,不限,不限
13897843,小雪,F,38,广东,清远,大专,156,0,--,29,35,168,175,不限,大专或以上,未婚,不限
13898614,吉祥如意,F,36,上海,闵行,大专,158,0,--,20,50,160,190,不限,不限,不限,不限
13900705,彬彬,F,34,陕西,西安,大专,163,0,--,25,29,175,178,不限,大专或以上,未婚,不限
13901034,张磊磊,M,29,山东,临沂,高中中专及以下,180,65,汉,20,50,150,180,不限,不限,不限,不限
13901697,佳缘会员,M,64,湖北,武汉,高中中专及以下,130,87,--,45,53,,,不限,不限,不限,不限
13903048,傻根,M,44,山东,淄博,本科,170,0,--,18,35,160,165,不限,大专或以上,未婚,不限
13903543,酣酣,M,33,福建,泉州,本科,179,0,--,23,30,160,174,不限,大专或以上,未婚,不限
13904040,云海,F,50,广西,梧州,高中中专及以下,155,0,--,45,50,160,170,不限,高中中专及以下,丧偶,不限
13905294,开心,F,48,吉林,长春,大专,165,65,汉,45,57,170,180,不限,不限,离异,不限
13906429,致远ty,M,52,山西,太原,本科,177,65,汉,44,51,158,172,不限,大专或以上,未婚、离异,不限
13908838,遗失の爱,M,32,重庆,九龙坡,本科,170,0,--,20,50,150,180,不限,不限,不限,不限
13908996,恋爱ing,M,31,江西,赣州,大专,180,0,--,18,22,150,175,不限,不限,不限,不限
13909104,马过十里烟,M,31,上海,浦东新区,硕士,177,65,汉,18,22,168,172,不限,本科或以上,未婚,不限
13909500,傻丫头♡♡,F,45,广东,广州,大专,166,58,汉,36,45,175,180,不限,本科,未婚,不限
13910059,haihao,M,37,上海,黄浦,本科,180,0,--,21,28,150,175,不限,不限,不限,不限
13911160,MT,M,27,广东,韶关,高中中专及以下,175,0,--,20,50,150,180,不限,不限,不限,不限
13911758,Wen,M,34,广东,广州,本科,170,60,汉,20,25,150,175,不限,大专或以上,未婚,不限
13912294,雄掌柜,M,38,北京,丰台,大专,170,0,--,20,50,150,180,不限,不限,不限,不限
13913029,wu,M,31,山东,济宁,高中中专及以下,178,0,--,20,50,150,180,不限,不限,不限,不限
13913945,keby,M,34,上海,松江,本科,170,0,--,20,50,150,180,不限,不限,不限,不限
13914019,jayhh222,M,32,上海,浦东新区,大专,178,0,--,18,22,160,173,不限,不限,未婚,不限
13915553,nanjinqixiaqu,M,47,江苏,南京,本科,175,0,--,20,50,150,180,不限,不限,不限,不限
13917602,雪候鸟,M,37,山东,潍坊,大专,175,0,--,25,35,165,170,不限,不限,不限,不限
13918186,淡淡茉莉香,F,39,广东,深圳,本科,165,48,汉,30,37,170,180,不限,本科或以上,不限,不限
13918186,淡淡茉莉香,F,39,广东,深圳,本科,165,48,汉,30,37,170,180,不限,本科或以上,不限,不限
13919310,骑蚊子收红包,M,37,辽宁,大连,本科,179,75,其它民,20,26,165,172,不限,本科,未婚,不限
13921293,洁白透明的我,F,50,陕西,汉中,大专,163,58,汉,45,50,170,180,不限,大专,离异、丧偶,不限
13925958,龍伸蠖~v~屈,M,29,北京,西城,大专,173,0,--,18,20,150,168,不限,不限,不限,不限
13925836,职业穷光蛋,M,33,北京,朝阳,本科,178,80,汉,20,26,162,175,不限,本科或以上,未婚,星级会员 
13928057,橙汁飘香,F,40,江苏,南通,本科,160,0,汉,31,38,168,190,不限,大专或以上,不限,不限
13930199,远离喧嚣,F,37,天津,南开,硕士,162,0,--,30,35,178,190,不限,硕士或以上,不限,不限
13930511,EnER.7,M,27,广东,深圳,大专,175,0,--,18,19,170,175,不限,不限,未婚,不限
13930773,peipei,M,32,广东,肇庆,高中中专及以下,168,0,--,20,50,150,180,不限,不限,不限,不限
13932301,木头,M,44,黑龙江,牡丹江,大专,161,0,--,24,34,,,不限,不限,未婚,不限
13933104,嫣然,F,40,北京,海淀,大专,160,47,汉,34,45,168,185,不限,大专,未婚、离异,不限
13933712,海鸥飞处,F,38,山东,青岛,本科,160,47,--,32,36,172,180,不限,大专或以上,未婚,不限
13934667,what can i do,F,33,上海,长宁,大专,158,50,汉,25,30,172,178,不限,大专,未婚,不限
13937264,天各一方,M,39,湖北,咸宁,大专,170,0,--,23,30,165,,不限,不限,不限,不限
13937348,雨梦,F,30,河北,石家庄,大专,155,0,--,22,24,170,190,不限,大专或以上,未婚,不限
13938787,你是唯一,M,30,辽宁,沈阳,大专,170,60,--,18,21,156,165,不限,不限,未婚,不限
13939585,快乐小妞,F,33,浙江,金华,大专,155,0,--,20,30,168,175,不限,大专,未婚,星级会员 
13939869,傻子,M,29,河北,邢台,高中中专及以下,173,0,--,18,20,150,168,不限,不限,不限,不限
13940198,寻爱的绿水,F,43,四川,德阳,大专,160,0,--,35,41,170,178,不限,本科,不限,不限
13940868,随波逐流,M,43,广东,广州,本科,170,0,--,20,50,150,180,不限,不限,不限,不限
13941941,★白玫瑰★,F,60,内蒙古,呼伦贝尔,高中中专及以下,164,60,汉,56,63,170,180,不限,高中中专及以下或以上,不限,不限
13942862,含著花瓣的魚,M,32,安徽,合肥,高中中专及以下,178,0,--,18,22,160,173,不限,不限,未婚,不限
13943194,Iman,M,45,广东,深圳,本科,176,76,汉,24,31,160,170,不限,大专或以上,未婚,不限
13943856,ck,M,44,广东,广州,高中中专及以下,178,0,--,21,31,158,170,不限,不限,不限,不限
13946967,念想,M,35,北京,朝阳,大专,175,65,汉,20,30,150,170,不限,不限,不限,不限
13948065,春天,F,45,广东,东莞,大专,160,0,汉,40,50,170,175,不限,不限,不限,不限
13950126,叶家源,M,35,广东,广州,大专,165,0,--,19,30,160,170,不限,不限,不限,不限
13950490,小言,F,39,贵州,贵阳,本科,160,0,--,30,37,172,178,不限,不限,不限,不限
13952409,yping,M,32,广东,东莞,大专,165,0,--,18,23,150,165,不限,大专,未婚,不限
13952932,轩梦园,F,32,湖南,长沙,高中中专及以下,164,48,汉,24,30,174,190,不限,大专或以上,未婚,星级会员 
13953579,兵哥哥,M,31,湖北,武汉,本科,174,0,--,20,50,150,180,不限,不限,不限,不限
13953918,mark,M,35,上海,普陀,大专,178,65,回,18,25,150,173,不限,不限,不限,不限
